Case Id,Timestamp,Activity Name,Celonis Change Date
4500000001,2023-03-26T00:00:00,"Goods Receipt Posted",2026-05-18T15:22:52
4500000001,2025-01-12T00:00:00,"Invoice Entered in System",2026-05-18T15:22:52
4500000001,2025-01-12T00:00:00,"Invoice Posted",2026-05-18T15:22:52
4500000001,2025-01-12T00:00:00,"Invoice Received",2026-05-18T15:22:52
4500000001,2025-02-11T00:00:00,"Payment Due Date Set",2026-05-18T15:22:52
4500000001,2025-02-28T00:00:00,"Delivery Window Started",2026-05-18T15:22:52
4500000001,2025-02-28T00:00:00,"Purchase Order Changed",2026-05-18T15:22:52
4500000001,2025-02-28T00:00:00,"Purchase Order Created",2026-05-18T15:22:52
4500000001,2025-05-29T00:00:00,"Delivery Window Ended",2026-05-18T15:22:52
4500000002,2024-01-25T00:00:00,"Delivery Window Started",2026-05-18T15:22:52
4500000002,2024-01-25T00:00:00,"Purchase Order Changed",2026-05-18T15:22:52
4500000002,2024-01-25T00:00:00,"Purchase Order Created",2026-05-18T15:22:52
4500000002,2024-04-24T00:00:00,"Delivery Window Ended",2026-05-18T15:22:52
4500000002,2025-04-16T00:00:00,"Invoice Entered in System",2026-05-18T15:22:52
4500000002,2025-04-16T00:00:00,"Invoice Posted",2026-05-18T15:22:52
4500000002,2025-04-16T00:00:00,"Invoice Received",2026-05-18T15:22:52
4500000002,2025-05-16T00:00:00,"Payment Due Date Set",2026-05-18T15:22:52
4500000002,2025-10-25T00:00:00,"Goods Receipt Posted",2026-05-18T15:22:52
4500000003,2023-01-11T00:00:00,"Invoice Entered in System",2026-05-18T15:22:52
4500000003,2023-01-11T00:00:00,"Invoice Posted",2026-05-18T15:22:52
4500000003,2023-01-11T00:00:00,"Invoice Received",2026-05-18T15:22:52
4500000003,2023-02-10T00:00:00,"Payment Due Date Set",2026-05-18T15:22:52
4500000003,2024-06-29T00:00:00,"Goods Receipt Posted",2026-05-18T15:22:52
4500000003,2025-09-22T00:00:00,"Delivery Window Started",2026-05-18T15:22:52
4500000003,2025-09-22T00:00:00,"Purchase Order Changed",2026-05-18T15:22:52
4500000003,2025-09-22T00:00:00,"Purchase Order Created",2026-05-18T15:22:52
4500000003,2025-12-21T00:00:00,"Delivery Window Ended",2026-05-18T15:22:52
4500000004,2024-12-17T00:00:00,"Delivery Window Started",2026-05-18T15:22:52
4500000004,2024-12-17T00:00:00,"Purchase Order Changed",2026-05-18T15:22:52
4500000004,2024-12-17T00:00:00,"Purchase Order Created",2026-05-18T15:22:52
4500000004,2025-03-17T00:00:00,"Delivery Window Ended",2026-05-18T15:22:52
4500000004,2025-05-19T00:00:00,"Goods Receipt Posted",2026-05-18T15:22:52
4500000004,2025-10-16T00:00:00,"Invoice Entered in System",2026-05-18T15:22:52
4500000004,2025-10-16T00:00:00,"Invoice Posted",2026-05-18T15:22:52
4500000004,2025-10-16T00:00:00,"Invoice Received",2026-05-18T15:22:52
4500000004,2025-11-15T00:00:00,"Payment Due Date Set",2026-05-18T15:22:52
4500000005,2023-10-06T00:00:00,"Delivery Window Started",2026-05-18T15:22:52
4500000005,2023-10-06T00:00:00,"Purchase Order Changed",2026-05-18T15:22:52
4500000005,2023-10-06T00:00:00,"Purchase Order Created",2026-05-18T15:22:52
4500000005,2023-11-21T00:00:00,"Invoice Entered in System",2026-05-18T15:22:52
4500000005,2023-11-21T00:00:00,"Invoice Posted",2026-05-18T15:22:52
4500000005,2023-11-21T00:00:00,"Invoice Received",2026-05-18T15:22:52
4500000005,2023-12-21T00:00:00,"Payment Due Date Set",2026-05-18T15:22:52
4500000005,2024-01-04T00:00:00,"Delivery Window Ended",2026-05-18T15:22:52
4500000005,2024-08-05T00:00:00,"Goods Receipt Posted",2026-05-18T15:22:52
4500000006,2023-02-19T00:00:00,"Delivery Window Started",2026-05-18T15:22:52
4500000006,2023-02-19T00:00:00,"Purchase Order Changed",2026-05-18T15:22:52
4500000006,2023-02-19T00:00:00,"Purchase Order Created",2026-05-18T15:22:52
4500000006,2023-05-20T00:00:00,"Delivery Window Ended",2026-05-18T15:22:52
4500000006,2024-11-08T00:00:00,"Invoice Entered in System",2026-05-18T15:22:52
4500000006,2024-11-08T00:00:00,"Invoice Posted",2026-05-18T15:22:52
4500000006,2024-11-08T00:00:00,"Invoice Received",2026-05-18T15:22:52
